"procedure","code postal","lieu","nature","code CPV","dureeMois","acheteur/id","acheteur/nom","datePublicationDonnees","titulaires/0/denominationSociale","titulaires/0/id","titulaires/0/typeIdentifiant","id","type","formePrix","dateNotification","objet","montant","universally unique identifier (uuid)"
"Appel d'offres ouvert","42000","Territoire de Saint-Etienne Métropole.Ville de Saint-Etienne","Accord-cadre","45233223","12","24420077000117","Saint Etienne Métropole","2021-07-07","ASTEN","54205733600365","SIRET","2021VO14200","Marché","Révisable","2021-07-06","Travaux d'urgence, de petit entretien et d'aménagement de faible ampleur","500000.0",""
"Procédure adaptée","42490","Fraisses (42490) et Saint-Paul-en-cornillon (42240).","Marché","44162500","6","24420077000117","Saint-Etienne Métropole","2020-06-24","faurie","33878625400023","SIRET","2020ACT10500","Marché","Révisable","2020-6-24","Interconnexion des réseaux d'eau potable de Fraisses et Saint-Paul-en-Cornillon","267300.00","00A750D7F1A2CB50C495E35399A86C00"
"Appel d'offres ouvert","42000","Territoire de Saint-Etienne Métropole.Ville de Saint-Etienne","Accord-cadre","45233223","12","24420077000117","Saint Etienne Métropole","2021-07-07","COLAS RHONE-ALPES AUVERGNE","32939379700066","SIRET","2021VO14300","Marché","Révisable","2021-07-06","Travaux d'urgence, de petit entretien et d'aménagement de faible ampleur","50000.0",""
"Appel d'offres ouvert","42000","Territoire de Saint-Etienne Métropole.Ville de Saint-Etienne","Accord-cadre","45233223","12","24420077000117","Saint Etienne Métropole","2021-07-07","COLAS RHONE-ALPES AUVERGNE","32939379700066","SIRET","2021VO14400","Marché","Révisable","2021-07-06","Travaux d'urgence, de petit entretien et d'aménagement de faible ampleur","62500.0",""
"Appel d'offres ouvert","42000","Territoire de Saint-Etienne Métropole.Ville de Saint-Etienne","Accord-cadre","45233223","12","24420077000117","Saint Etienne Métropole","2021-07-07","EIFFAGE ROUTE CENTRE EST","39882711300141","SIRET","2021VO14600","Marché","Révisable","2021-07-06","Travaux d'urgence, de petit entretien et d'aménagement de faible ampleur","75000.0",""
"Appel d'offres ouvert","42000","SAINT ETIENNE","Accord-cadre","50800000","12","24420077000117","Saint-Etienne Métropole","2021-01-29","SUEZ","41003460702603","SIRET","2021SEM38300","Marché","Révisable","2021-1-26","Réalisation de travaux d'urgence sur les réseaux humides (assainissement et eau potable) - Suivi et intervention d'urgence sur les équipements du réseau d'eau potable","170576.22","06A6D1560CBFFDE1141AC659C42FB6F5"
"Appel d'offres ouvert","42000","SAINT ETIENNE","Accord-cadre","50800000","12","24420077000117","Saint-Etienne Métropole","2021-01-29","SUEZ","41003460702603","SIRET","2021SEM38400","Marché","Révisable","2021-1-26","Réalisation de travaux d'urgence sur les réseaux humides (assainissement et eau potable) - Suivi et intervention d'urgence sur les équipements du réseau d'eau potable","181241.00","06C08B57D77868CF14B3E11BE72763B5"
"Appel d'offres ouvert","42000","SAINT ETIENNE","Accord-cadre","50800000","12","24420077000117","Saint-Etienne Métropole","2021-01-29","CHOLTON","67450126700084","SIRET","2021SEM38500","Marché","Révisable","2021-1-26","Réalisation de travaux d'urgence sur les réseaux humides (assainissement et eau potable) - Suivi et intervention d'urgence sur les équipements du réseau d'eau potable","126869.95","06C74484AA85F68C36E257AFA4CE6C22"
"Procédure adaptée","42230","Boulevard Sagnat -  42230 Commune de Roche La Molière","Marché","45232410","7","24420077000117","Saint-Etienne Métropole","2020-11-20","BRUNEL ENTREPRISE","88565056400028","SIRET","2020ASRI31900","Marché","Révisable","2020-11-20","Construction d'un bassin de stockage-restitution de 1 300 m3 - Boulevard Sagnat - Roche La Molière","1304880.00","079BDCB5D79827BBFC9DC4AE2507B9BA"
"Appel d'offres ouvert","42000","Saint-Etienne","Accord-cadre","45232410","12","24420077000117","Saint-Etienne Métropole","2020-03-17","Pacoret Version Originale","42431466400022","SIRET","2020SEM7101","Marché","Révisable","2020-3-13","Accord-cadre mono attributaire pour la réalisation de branchements et petits travaux de moins de 50 000 euros HT en réseaux humides.","26196.00","095479C094B430C03F29F81B8BD68E8C"
