"osm_id","type","name","ref_mhs","religion","religion_denomination","inscription","build_date","description","heritage","com_insee","x","y"
"node/1599755763","wayside_shrine","Chapelle du coeur immaculé de marie","","christian","","","","","","42218","4.3818751","45.451455500419"
"node/1736444963","memorial","Monument du Bicentenaire de la Révolution","","","","","1989","","","42218","4.3931887","45.419362700423"
"node/1814604992","fountain","Le Petit Buveur","","","","","1923","","","42218","4.3863448","45.437409800421"
"node/1839799794","fountain","","","","","","","","","42218","4.3757589","45.450393500419"
"node/1843406705","memorial","","","","","","","","","42218","4.3818167","45.437280400421"
"node/2142016244","fountain","","","","","","","","","42218","4.3981586","45.422334100422"
"node/2352370439","place_of_worship","lieu de prière","","muslim","","","","","","42218","4.3772963","45.44016490042"
"node/2432440419","memorial","Jeanne d'Arc","","","","","1916","","","42218","4.3851606","45.436407000421"
"node/2448347591","wayside_cross","","","","","","","","","42218","4.4460047","45.410227500424"
"node/2545425652","place_of_worship","Église Apostolique de Saint-Étienne","","christian","apostolic","","","","","42218","4.3927964","45.43919750042"
"node/2630904116","memorial","À la mémoire de Francis Garnier","","","","","1953","","","42218","4.398371","45.433263200421"
"node/2637122803","wayside_cross","","","","","","","","","42218","4.259744","45.44605270042"
"node/2641243679","fountain","L'Égyptienne","","","","","1915","","","42218","4.3878161","45.431274000421"
"node/2643729992","memorial","Buste de Jean Moulin","","","","Jean Moulin 1899 1943 Unificateur de la Résistance","1983-12-18","","","42218","4.3923593","45.437581600421"
"node/2650563993","memorial","Monument de la Guerre d'Arménie","","","","","1989","","","42218","4.3904545","45.432252900421"
"node/2725368539","memorial","La Victoire","","","","La société des mines de la Loire à ses collaborateurs morts, victimes de la guerre et du devoir.","1920","Monument commémoratif des mineurs morts lors de la Première Guerre mondiale.","","42218","4.3764061","45.43855600042"
"node/2773569889","memorial","Monument aux morts de la MAS","","","","","","Monument aux résistants employés de la manufacture d'armes de Saint-Etienne","","42218","4.3844533","45.450693600419"
"node/2773569914","gate","","","","","","","","","42218","4.3848804","45.450265600419"
"node/2842396997","place_of_worship","Dojo Zen de Saint-Étienne","","buddhist","zen","","","","","42218","4.3770407","45.456259700418"
"node/3469518292","memorial","Buste d'Émile Girodet","","","","","1907","","","42218","4.381859","45.447897900419"
"node/3490818497","memorial","Monument funéraire du Souvenir français","","","","","","","","42218","4.3936142","45.44267160042"
"node/3498954380","tomb","Tombe Smith","PA42000040","","","","","","3","42218","4.3912769","45.44404310042"
"node/3617357950","memorial","à Jean Jaurès","","","","Il n'y a pas d'idéal plus noble que celui d'une société où le travail sera souverain.","1931","Voté par le Conseil municipal en octobre 1930, le buste est inauguré le 5 juillet 1931.","","42218","4.3870833","45.44086970042"
"node/3617357951","monument","José Frappa","","","","","1912","","","42218","4.3868114","45.44185830042"
"node/3665692274","place_of_worship","Centre Évangélique","","christian","evangelical","","","","","42218","4.3864632","45.44389760042"
"node/4039026573","memorial","","","","","","","","","42218","4.3940073","45.468573600417"
"node/4056140256","memorial","","","","","","","","","42218","4.4367444","45.435814900421"
"node/4235436558","place_of_worship","","","muslim","","","","","","42218","4.3823287","45.434975600421"
"node/4346255305","memorial","","","","","Les rapatriés à leurs morts laissés en Afrique du Nord","","","","42218","4.3910157","45.44405560042"
"node/486433073","wayside_cross","Croix du Perthuis","","","","","","","","42218","4.4294062","45.413032900424"
"node/492758386","monument","Madone de Rochetaillée","","","","","","","","42218","4.4404028","45.412892500424"
