Nombre de délibération,COLL_NOM,COLL_SIRET,DELIB_ID,DELIB_DATE,DELIB_MATIERE_CODE,DELIB_MATIERE_NOM,DELIB_OBJET,BUDGET_ANNEE,BUDGET_NOM,PREF_ID,PREF_DATE,VOTE_EFFECTIF,VOTE_REEL,VOTE_POUR,VOTE_CONTRE,VOTE_ABSTENTION,DELIB_URL
1,Saint-etienne metropole (SEM),24420077000117,2022.00028,2022-03-24,,COMMANDE PUBLIQUE,"PLAN DE RELANCE METROPOLITAIN 2021-2023 - ATTRIBUTION D’UN FONDS
DE CONCOURS A LA COMMUNE DE LA TOUR-EN-JAREZ - CONSTRUCTION
D’UN ESPACE INTERGENERATIONNEL",2022,"Administration Générale du
Budget Principal",PREF042,2022-04-04,123,89,101,0,4,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
2,Saint-etienne metropole (SEM),24420077000117,2022.00033,2022-03-24,,COMMANDE PUBLIQUE,"DELEGATION DE SERVICE PUBLIC TRANSPORT URBAIN DE VOYAGEURS ET
DES SERVICES DE MOBILITES - CHOIX DU DELEGATAIRE - APPROBATION",2022,"annexe
des transports",PREF042,2022-04-04,123,95,98,5,4,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
3,Saint-etienne metropole (SEM),24420077000117,2022.00034,2022-03-24,,COMMANDE PUBLIQUE,"PLAN DE RELANCE METROPOLITAIN 2021-2023 - ATTRIBUTION D’UN FONDS
DE CONCOURS A LA COMMUNE DE FONTANES - AMENAGEMENT DE LA
ZONE DE LOISIRS DU RIO",2022,"Administration
Générale du Budget Principal",PREF042,2022-04-04,123,89,101,0,4,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
4,Saint-etienne metropole (SEM),24420077000117,2022.00047,2022-03-24,,COMMANDE PUBLIQUE,"VŒU RELATIF A LA SCOLARISATION DES ENFANTS DEFICIENTS VISUELS
DANS LA LOIRE",2022,,PREF042,2022-04-04,123,88,104,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
5,Saint-etienne metropole (SEM),24420077000117,2022.00048,2022-03-24,,COMMANDE PUBLIQUE,"TRAVAUX DE DISSIMULATION DES RESEAUX SECS, RUE DU BREUIL SUR LA
COMMUNE DE VILLARS - ATTRIBUTION D’UN FONDS DE CONCOURS AU SIEL",2022,Voirie,PREF042,2022-04-04,123,88,104,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
6,Saint-etienne metropole (SEM),24420077000117,2022.00053,2022-03-24,,COMMANDE PUBLIQUE,"TRAVAUX DE DISSIMULATION DE RESEAUX RUE CLOS MARQUET COMMUNE
DE SAINT-CHAMOND - ATTRIBUTION D’UN FONDS DE CONCOURS AU SIEL",2022,Voirie,PREF042,2022-04-04,123,88,104,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
7,Saint-etienne metropole (SEM),24420077000117,2022.00054,2022-03-24,,URBANISME,"PLAN LOCAL D’URBANISME (PLU) DE ROCHE-LA-MOLIERE - APPROBATION
DE LA MODIFICATION SIMPLIFIEE N°1",2022,"investissement 2022
Prospective, destination Planification",PREF042,2022-04-04,123,88,104,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
8,Saint-etienne metropole (SEM),24420077000117,2022.00057,2022-03-24,,INSTITUTIONS et VIE POLITIQUE,"DELEGATION CADRE ACCORDEE AU PRESIDENT POUR LA DECISION DE
RECOURIR A L’EMPRUNT ET AUX OPERATIONS DE COUVERTURE",2022,"Compte
Administratif et Budget Primitif",PREF042,2022-04-04,123,92,107,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
9,Saint-etienne metropole (SEM),24420077000117,2022.00103,2022-03-24,,INSTITUTIONS et VIE POLITIQUE,"DESIGNATIONS DES REPRESENTANTS DE SAINT-ETIENNE METROPOLE
DANS DIVERS ORGANISMES",2022,,PREF042,2022-04-04,123,88,104,0,4,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
10,Saint-etienne metropole (SEM),24420077000117,2022.00103,2022-03-24,,COMMANDE PUBLIQUE,"TRAITEMENT DES ECARTS NEGATIFS SUR LES DEPOTS D’ESPECES DES
REGIES A LA BANQUE POSTALE",2022,,PREF042,2022-04-04,123,92,107,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
