id_local;id_osm;code_com;coordonneesxy;capacite;type_accroche;mobilier;acces;gratuit;protection;couverture;surveillance;source;date_maj
node/1712697982;node/1712697982;42218;[4.378871799999999,45.46366510041738];6;;AUTRE;LIBRE ACCES;true;AUTRE;true;false;OpenStreetMap;26/02/2020
node/1742800803;node/1742800803;42218;[4.387595799999999,45.43605910042079];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;27/02/2021
node/1746143847;node/1746143847;42218;[4.381285899999999,45.44134300042013];20;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;01/11/2015
node/1747406108;node/1747406108;42218;[4.3829729,45.45524780041842];3;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;12/10/2019
node/1952291545;node/1952291545;42218;[4.3999891,45.44294270041993];28;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;18/09/2020
node/2228460115;node/2228460115;42218;[4.3859815,45.44767460041935];10;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;26/02/2020
node/2298091549;node/2298091549;42218;[4.3879941,45.451662700418844];38;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;01/11/2015
node/2310910674;node/2310910674;42218;[4.409077599999999,45.423057300422364];20;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;09/06/2021
node/2343498454;node/2343498454;42218;[4.390497399999999,45.443602800419846];4;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;07/04/2021
node/2350789690;node/2350789690;42218;[4.3783963,45.43684420042067];8;;AUTRE;LIBRE ACCES;true;CONSIGNE COLLECTIVE FERMEE;true;false;OpenStreetMap;29/11/2019
node/2350789691;node/2350789691;42218;[4.3784472,45.436862100420676];4;;AUTRE;LIBRE ACCES;true;BOX INDIVIDUEL FERME;true;false;OpenStreetMap;28/08/2021
node/2356315765;node/2356315765;42218;[4.388143399999999,45.43467050042094];4;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;16/12/2021
node/2356319166;node/2356319166;42218;[4.388145,45.4325401004212];8;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;22/05/2021
node/2356319174;node/2356319174;42218;[4.3890639,45.43200600042126];4;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;23/09/2021
node/2356336154;node/2356336154;42218;[4.3939819,45.43813760042052];4;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;27/02/2021
node/2356336169;node/2356336169;42218;[4.3913871,45.43735910042062];4;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;27/07/2021
node/2356336176;node/2356336176;42218;[4.3929409,45.43722670042063];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;30/04/2021
node/2363129394;node/2363129394;42044;[4.322649200000001,45.394716300425756];;;AUTRE;LIBRE ACCES;true;BOX INDIVIDUEL FERME;true;false;OpenStreetMap;27/06/2013
node/2377251919;node/2377251919;42222;[4.3182026,45.59014790040123];6;;AUTRE;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;07/07/2013
node/2436835692;node/2436835692;42218;[4.3847913,45.446731400419466];6;CADRE;POTELET;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;11/10/2021
node/2500406276;node/2500406276;42189;[4.3244313,45.434638000420954];10;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;18/10/2013
node/2533432203;node/2533432203;42218;[4.4043603,45.44197850042004];10;CADRE;POTELET;LIBRE ACCES;true;AUTRE;false;false;cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2013;15/11/2013
node/2624839627;node/2624839627;42218;[4.3871012,45.43975170042033];16;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;18/10/2020
node/2637014187;node/2637014187;42218;[4.2553042,45.44849700041926];16;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;25/01/2014
node/2655788481;node/2655788481;42218;[4.3890624,45.44224920042001];26;;AUTRE;PRIVE;false;AUTRE;true;false;OpenStreetMap;03/04/2019
node/2664625328;node/2664625328;42218;[4.3870522,45.44138990042012];8;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;08/04/2021
node/2664625332;node/2664625332;42218;[4.3868251,45.44136200042012];8;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;08/04/2021
node/2715614964;node/2715614964;42218;[4.3857856,45.450081100419055];12;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;07/02/2021
node/2715614983;node/2715614983;42218;[4.3857446,45.45022300041904];18;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;07/02/2021
node/2715614995;node/2715614995;42218;[4.385659899999999,45.45051160041899];18;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;02/05/2021
node/2715614998;node/2715614998;42218;[4.385618899999999,45.45065730041898];18;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;02/05/2021
